ticker,year,vis
aapl,2001,53
aapl,2002,98
aapl,2003,100
aapl,2004,116
aapl,2005,162
aapl,2006,229
aapl,2007,186
aapl,2008,255
aapl,2009,333
aapl,2010,575
aapl,2011,780
aapl,2012,749
aapl,2013,529
aapl,2014,377
aapl,2015,286
aapl,2016,320
aapl,2017,245
aapl,2018,206
aapl,2019,219
aapl,2020,200
msft,2001,528
msft,2002,572
msft,2003,415
msft,2004,325
msft,2005,343
msft,2006,379
msft,2007,216
msft,2008,461
msft,2009,280
msft,2010,257
msft,2011,223
msft,2012,211
msft,2013,240
msft,2014,160
msft,2015,73
msft,2016,73
msft,2017,56
msft,2018,58
msft,2019,56
msft,2020,87
